"",MCP-091662,100%,SAN DIEGO,YANKEE,7/11/09,7/14/09,MIL,,"2,200","2,200",GB,UI,0,0,0,0
"",MCP-2601,100%,SAN DIEGO,RIDGE,8/26/09,8/29/09,MIL,,500,500,T,UI,0,0,0,0
"",MNF-1745,100%,GLENN,DOE,11/28/09,11/29/09,USFS,,550,550,B,HUMAN,3,0,0,0
"",NOD-3703,100%,LASSEN,W-4,8/1/09,8/7/09,BLM,,"1,500","1,500",B,LIGHTNING,0,0,0,0
""
""
"",,CON-,,,DATE,ORIGIN,ACRES BURNED,"VEG.TYPE",,STRUCTURES,FATALITIES,,,,,
"",INCIDENT #,TAINED,COUNTY / UNIT,FIRE NAME,START,CONT.,DPA,CDF,OTHER,TOTAL,CAUSE,DEST.,DAM.,FIRE,CIVIL,
"",PNF-782,100%,PLUMAS,ELEPHANT,8/16/09,8/21/09,USFS,,448,448,T,UI,0,0,0,0
"",PNF-961,100%,PLUMAS,SILVER,9/19/09,9/21/09,USFS,,307,307,T,UI,0,0,0,0
"",SQF-2025,100%,TULARE,SHOTGUN,6/17/09,7/11/09,USFS,,900,900,T,LIGHTNING,0,0,0,0
"",SQF-2139,100%,TULARE,LION COMPLEX,6/30/09,8/21/09,USFS,,"3,988","3,988",TB,LIGHTNING,0,0,0,0
"",SQF-3728,100%,TULARE,POWER,9/27/09,9/29/09,USFS,,326,326,B,UI,0,0,0,0
"",SRF-1131,100%,TRINITY/HUMBOLDT,BACKBONE,7/1/09,7/24/09,USFS,,"6,324","6,324",T,LIGHTNING,0,0,1,0
"",STF-2207,100%,TUOLUMNE,KNIGHT,7/26/09,8/11/09,USFS,,"6,130","6,130",TB,UI,0,0,0,0
"",YNP-1510,100%,MARIPOSA,GROUSE,5/30/09,7/13/09,USFS,,"3,047","3,047",T,LIGHTNING,0,0,0,0
"",YNP-1659,100%,TUOLUMNE,HARDEN,6/8/09,7/11/09,USFS,,"1,661","1,661",T,LIGHTNING,0,0,0,0
"",YNP-2968,100%,TUOLUMNE,WILDCAT,7/29/09,8/31/09,USFS/NPS,,"1,100","1,100",T,LIGHTNING,0,0,0,0
"",YNP-3660,100%,MARIPOSA,BIG MEADOWS,8/26/09,9/10/09,USFS,,"7,425","7,425",B,HUMAN,0,0,0,0
"",,"84,823","337,324","422,147",,,496,85,3,0,,,,,,
"",CDF INC. REPORT IN CAIRS,OUTSTANDING INC. REPORT CAIRS,,,,,,,,,,,,,,
"",This large fire list includes fires 300 acres and greater to which CAL FIRE responded.  The source of the data is gathered from reports filled out by CAL FIRE Units statewide.  The information is verified when a final,,,,,,,,,,,,,,,
"","report is submitted by the CAL FIRE unit where the fire occurred.  Often this final report does not come in until after a fire season ends when staff have time to finalize the paperwork.  Other agenciesare not obligated to provide reports to CAL FIRE on fire activity within their jurisdiction.  Information on this list concerning other agencies should be verified with those agencies.  Other agency data is taken from the 209's.",,,,,,,,,,,,,,,
"Total statistics are not final, and may not match any other fire statistics being produced by CAL FIRE at this time.",,,,,,,,,,,,,,,,
