INCIDENT #,COUNTY / UNIT,FIRE NAME,DATE,ORIGIN,ACRES BURNED,VEG. TYPE,CAUSE,STRUCTURES,FATALITIES,,,
"",,,START,CONT.,DPA,TOTAL,DEST.,DAM.,FIRE,CIVIL,,
LPE-1439,VENTURA,OZENA,6/16/12,6/17/12,USFS,3 61,B,UI,,,,
SQF-001644,KERN,GULCH,6/19/12,6/21/12,USFS,3 85,BG,HUMAN,1,,,
LPF-1505,VENTURA,HILL,6/23/12,6/27/12,USFS,6 89,B,UI,,,,
SHF-2290,TRINITY,FLAT,7/11/12,7/17/12,USFS,"1 ,688",TG,UI,,,,
MNF-1109,COLUSA,MILL,7/7/12,7/18/12,USFS,"2 9,502",TB,UI,5,,,
NOD-3016,LASSEN,SPANISH,7/18/12,7/21/12,USFS,"1 ,169",GB,N/A,,,,
KNP-0072,FRESNO,WOODS CREEK,7/15/12,7/21/12,USFS,3 25,T,LIGHTNING,,,,
PNF--00998,PLUMAS,PEAK,7/29/12,8/2/12,USFS,8 00,TB,UI,,,,
SHF-2521,SHASTA,SALT CREEK,8/1/12,8/4/12,USFS,9 80,TBG,UI,1,,,
KNF-5426,SISKIYOU,DILLON,8/3/12,8/7/12,USFS,3 18,T,HUMAN,,,,
MDF-0429,MODOC,LAKE COMPLEX,8/5/12,8/9/12,USFS,"1 ,668",TGB,LIGHTNING,,,,
SQF-2476,KERN,PIUTE COMLEX,8/4/12,8/11/12,USFS,"1 ,783",TBG,LIGHTNING,,,,
SNF-1940,FRESNO,BEAR,8/5/12,8/12/12,USFS,8 35,TB,LIGHTNING,,,,
OVD-942,MONO,INDIAN,8/8/12,8/15/12,USFS,"1 2,574",TGB,LIGHTNING,,,,
LNP-3115,SHASTA,READING,7/23/12,8/21/12,NPS,"2 8,079",T,LIGHTNING,,,,
NOD-3596,MODOC,NELSON (W-1),8/17/12,8/21/12,NPS/BLM,"3 ,661",GB,LIGHTNING,,,,
SHF-2735,SHASTA,BAGLEY COMPLEX,8/18/12,8/22/12,NPS,"1 ,000",T,LIGHTNING,,,,
CDD-11542,KERN,JAWBONE COMPLEX,8/10/12,8/22/12,NPS/BLM,"1 ,218",TB,LIGHTNING,19,9,,
MDF-521,MODOC,ANTELOPE,8/21/12,8/25/12,NPS,6 50,TG,LIGHTNING,,,,
FWF-120680,MODOC,BARRYPOINT (CA LAND),8/6/12,8/28/12,USFS,"3 8,394",T,LIGHTNING,3,,,
NOD-3490,LASSEN,RUSH,8/12/12,8/31/12,NPS/BLM,"2 71,911",GB,LIGHTNING,,1,,
STF-2954,CALAVERAS,RAMSEY,8/11/12,8/31/12,USFS,"1 ,137",T,CAMPFIRE,,,,
PNF -1001,PLUMAS/LASSEN,CHIPS,7/29/12,8/31/12,USFS,"7 5,217",TBG,UI,9,,,
KNF-5659,SISKIYOU,FORT COMPLEX,8/5/12,9/10/12,USFS,"2 3,653",TB,LIGHTNING,,,,
ANF-4803,LOS ANGELES,WILLIAMS,9/2/12,9/11/12,USFS,"4 ,192",B,UI,,,,
SHF-2894,TRINITY,STAFFORD,9/5/12,9/13/12,USFS,"4 ,407",T,UI,,,,
SHF-2922,SHASTA,WARD,9/11/12,9/14/12,USFS,5 50,T,UI,,,,
SHF-2744,SHASTA,BAGLEY,8/18/12,9/1512,USFS,"4 6,011",T,LIGHTNING,,,,
MNF-1446,MENDOCINO,NORTH PASS,8/18/12,9/1612,USFS,"4 1,983",T,LIGHTNING,26,4,,
NOD-3916,LASSEN,LIKELY,9/5/12,9/14/12,USFS,"9 ,838",GTB,HUMAN,,,,
DVP-11569,INYO,SOUTH COMPLEX,8/10/12,10/16/12,USFS,4 53,B,LIGHTNING,,,,
BDF-16430,SAN BERNARDINO,DEVORE,11/5/12,11/6/12,USFS,3 35,GB,UI,1,,,
YNP-1473,MARIPOSA,CASCADE,6/16/12,11/26/12,NPS,"1 ,705",T,LIGHTNING,,,,
