"",,,,Date,,Origin,Acres Burned,,Veg.,,Structures,Fatalities
SRF-1476,HUMBOLDT,ROUTE COMPLEX,07/30/15,08/31/15,,USFS,"35,675",,T,LIGHTNING,2,
SHF-2067,TRINITY,FORK COMPLEX,07/30/15,08/29/15,,USFS,"36,499",,"T,B,G",UNDETERMINED,12,
SRF-1433,TRINITY,MAD RIVER COMPLEX,07/30/15,09/03/15,,USFS,"37,462",,T,LIGHTNING,4,
SNF-1746,FRESNO,ROUGH,07/31/15,12/01/15,,USFS,"151,623",,"T,B,G",LIGHTNING,4,
SHF-2108,TRINITY,SOUTH COMPLEX,08/01/15,10/01/15,,USFS,"29,416",,T,LIGHTNING,3,
SRF-1470,DEL NORTE,NICKOWITZ,08/01/15,09/30/15,,USFS,"7,509",,T,LIGHTNING,,
NOD-3806,LASSEN,DODGE,08/03/15,08/17/15,,BLM,"10,570",,B,HUMAN,,
SRF-1488,DEL NORTE,GASQUET COMPLEX,07/31/15,10/15/15,,USFS,"30,361",,T,LIGHTNING,,
"",,,,Date,,Origin,Acres Burned,,Veg.,,Structures,Fatalities
Incident#,County,Fire Name,Start,Cont.,,DPA,Total,,Type,Cause,Dest. Dam.,Fire Civil
MCP-2459,SAN DIEGO,HORNO,08/13/15,08/17/15,,DOD,"1,846",,B,HUMAN,,
ANF-3611,LOS ANGELES,CABIN,08/14/15,08/20/15,,USFS,"1,723",,B,UNDETERMINED,3,
INF-1319,MONO,WALKER,08/14/15,08/31/15,,USFS,"3,676",,"T,B,G",UNDETERMINED,,
ANF-3651,LOS ANGELES,WARM,08/16/15,08/19/15,,USFS,300,,B,UNDETERMINED,3 3,
KRN-30112,KERN,DEER,08/18/15,08/20/15,,KRN,311,,"T,B,G",UNDETERMINED,,
YNP-123,MARIPOSA,TENAYA,09/07/15,09/16/15,,USFS,415,,"T,B",UNDETERMINED,,
VNC-89187,VENTURA,SOLIMAR,12/25/15,12/28/15,,VNC,"1,288",,B,UNDETERMINED,,
TOTAL,,,,,,,"773,415",,,,"3,217 125",1 6
