INCIDENT #,COUNTY / UNIT,FIRE NAME,DATE,"ORIGINDPA",ACRES BURNED,"VEG.TYPE",CAUSE,STRUCTURES,FATALITIES,,,,,
NEU-13290,Placer,TNF 1993 (Cod Comp,09/01/03,09/01/03,USFS,,830,830,B,Lightning,0,0,0,0
BDU-10212,Mono,Assist (Dexter),09/02/03,09/02/03,USFS,,"2,515","2,515",BT,Lightning,0,0,0,0
TGU-5497,Glenn,MNF Assist (Grindsto,09/03/03,09/03/03,USFS,,"8,019","8,019",BT,Lightning,0,0,0,0
HUU-004435,Humboldt,Lightning Honeydew 4,09/03/03,09/03/03,CDF,"13,846",,"13,846",W,Lightning,0,0,0,0
HUU-004501,"HumboldtGlenn",Canoe,09/03/03,10/15/03,CDF,"24,882",,"24,882",TGW,Lightning,0,2,0,0
TGU-5488,4-2,09/03/03,09/04/03,CDF,400,,400,W,Lightning,0,0,0,0,
LNU-6644,Lake,SITES,09/03/03,09/04/03,CDF,390,,390,W,Lightning,0,0,0,0
LNU-6629,Yolo,40,09/03/03,09/03/03,CDF,"1,400",,"1,400",B,Arson,0,0,0,0
LNU-7125,Lake,MNF-964 Asst / Smok,09/03/03,09/10/03,USFS,,"3,500","3,500",W,Lightning,0,0,0,0
SHU-9940,Trinity,SHF Assist (Loma),09/14/03,09/22/03,USFS,,"3,074","3,074",T,n/a,0,0,0,0
TUU-10986,Tulare,NPS #6 Paradise,09/27/03,10/19/03,NPS,,"1,298","1,298",T,Lightning,0,0,0,0
TGU-6202,Tehama,MNF Assist (Spanish),09/28/03,10/02/03,USFS,,"6,050","6,050",T,n/a,0,0,0,0
BDU-10299,San Bernardino,Gorman,09/28/03,09/29/03,CDF,300,0,300,G,Undetermined,0,0,0,0
BDU-10456,San Bernardino,Lytle,10/01/03,10/01/03,USFS,,903,903,BT,n/a,0,0,0,0
RRU-81407,Riverside,Pass,10/21/03,10/23/03,CDF,"2,189",208,"2,397",B,Arson,3,7,0,0
BDU-11262,San Bernardino,Grand Prix,10/21/03,11/05/03,CDF,"12,289","54,605","66,894",B,Undetermined,136,71,0,0
MVU-7975,San Diego,Assist 68 (Roblar 2),10/21/03,10/27/03,MIL,,"8,592","8,592",B,n/a,0,0,0,0
SLU-7808,Ventura,Piru,10/23/03,11/14/03,CC,,"63,991","63,991",GB,n/a,8,0,0,0
BDU-14164,Los Angeles,Assist Verdale,10/24/03,10/24/03,CC,,"8,650","8,650",GB,n/a,1,0,0,0
SLU-7886,Ventura,Simi,10/25/03,11/03/03,CC,,"108,204","108,204",B,n/a,300,11,0,0
MVU-8126,San Diego,Cedar,10/25/03,11/04/03,USFS,"143,734","129,512","273,246",WAP,Human,"4,847",63,1,14
INCIDENT #,COUNTY / UNIT,FIRE NAME,DATE,"ORIGINDPA",ACRES BURNED,"VEG.TYPE",CAUSE,STRUCTURES,FATALITIES,,,,,
"",,,START,CONT.,CDF,OTHER,TOTAL,DEST.,DAM.,FIRE,CIVIL,,,
MVU-8151,San Diego,Mine,10/26/03,10/28/03,CDF,"46,000",,"46,000",B,Arson,0,0,0,0
RRU-082809,Riverside,Mountain,10/26/03,10/29/03,CDF,"10,000",,"10,000",GB,Equip. Use,61,0,0,0
HUU-5720,Humboldt,Tuk,10/26/03,10/30/03,NPS,,315,315,T,N/A,0,0,0,0
MVU-008143,San Diego,Paradise,10/26/03,11/06/03,CDF,"56,700",,"56,700",B,Equip. Use,223,10,0,2
SHU-11176,Shasta,Whitmore,10/27/03,10/30/03,CDF,"1,200",,"1,200",T,Undetermined,0,0,0,0
LMU-4234,Modoc,Sand,11/28/03,11/29/03,USFS,,300,300,BT,Escape,0,0,0,0
"",,,,,,,,,,,,,,
"",,115 Large Fires,,,TOTALS,"400,926","573,243","974,169",,,"6,632",178,1,22
