"",BDU-4974,100%,Los Angeles,Copper,06/05/02,06/12/02,USFS,,"23,407","23,407",,Under Invest.,26,,,
"",BTU-6327,100%,Butte,Skyway,06/08/02,06/09/02,CDF,"2,000",,"2,000",,Under Invest.,,,,
"",AEU-8140,100%,Amador,Twin,06/08/02,06/08/02,CDF,300,,300,G,Undetermined,0,0,0,0
"",FKU-7156,100%,Fresno,Area,06/09/02,06/10/02,CDF,400,,400,G,Elec. Power,0,0,0,0
SLU-2909,100%,San Luis Obispo,Davis,06/09/02,06/09/02,CDF,"2,118",,"2,118",G AP,Rekindle,0,0,0,0,
"",MMU-7167,100%,Merced,Myers,05/07/02,05/07/02,CDF,320,,320,G,Undetermined,0,0,0,0
"",FKU-5607,100%,Fresno,Tivy,05/09/02,05/10/02,CDF,680,,680,,Elec. Power,,,,
"",ANF-1534,100%,Angeles NF,Bouquet,05/11/02,05/13/02,USFS,,"4,977","4,977",,Undetermined,2,,,
"",CNF-795,100%,Cleveland NF,Mateo,05/13/02,05/13/02,USFS,,"1,500","1,500",,Undetermined,,,,
"",RRU-35797,100%,Riverside/Orange Co.,State 925 (Antonio),05/13/02,05/15/02,CDF,338,"1,134","1,472",B,Undetermined,0,0,0,0
"",BDU-4432,100%,Los Angeles,Shannon,05/23/02,05/23/02,CC,,356,356,,Undetermined,,,,
"",MMU-8182,100%,Merced,Ahlem,05/23/02,05/23/02,LOCAL,,"6,000","6,000",AP,Undetermined,0,0,0,0
"",BDU-4700,100%,San Bernardino NF,Arrowhead,05/31/02,06/05/02,USFS,,"2,688","2,688",,Under Invest.,7,,,
"",LPF-869,100%,Ventura (Las Padres,Wolf,06/01/02,06/14/02,USFS,,"21,645","21,645",,Under Invest.,6,,,
"",SQF- 1009,100%,Sequoia NF,Rocky(will do),06/02/02,06/04/02,USFS,,498,498,,Under Invest.,,,,
"",RRU-40281,100%,BDF Riverside,Bee,06/02/02,06/02/02,USFS,,432,432,,Under Invest.,,,,
"",BDU-4974,100%,Los Angeles,Copper,06/05/02,06/12/02,USFS,,"23,407","23,407",,Under Invest.,26,,,
"",BTU-6327,100%,Butte,Skyway,06/08/02,06/09/02,CDF,"2,000",,"2,000",,Under Invest.,,,,
"",AEU-8140,100%,Amador,Twin,06/08/02,06/08/02,CDF,300,,300,G,Undetermined,0,0,0,0
"",FKU-7156,100%,Fresno,Area,06/09/02,06/10/02,CDF,400,,400,G,Elec. Power,0,0,0,0
"",SLU-2909,100%,San Luis Obispo,Davis,06/09/02,06/09/02,CDF,"2,118",,"2,118",G AP,Rekindle,0,0,0,0
"",AEU-8240,100%,Amador,Pony,06/09/02,06/09/02,CDF,720,,720,GB,Elec. Power,0,0,0,0
"",SKU-1997,100%,Siskiyou,Forks,06/12/02,06/15/02,USFS,,"1,400","1,400",,Under Invest.,,,,
"",NEU-8324,100%,Yuba,Field,06/09/02,06/11/02,CDF,945,,945,GWB,Under Invest.,0,0,0,0
"",TUU-5894,100%,Tulare,State of Calif. #24,06/14/02,06/14/02,LOCAL,,641,641,G,Vehicle,0,0,0,0
"",BDU-5283,100%,San Bernardino,Bluecut,06/16/02,06/22/02,USFS,,"6,864","6,864",,Under Invest.,,,,
"",INCIDENT#,"%CONT.",UNIT,FIRE NAME,DATE,"ORIGINDPA",ACRES BURNED,"VEG.TYPE",CAUSE,STRUCTURES,FATALITIES,,,,,
"",,,,,START,CONT.,CDF,OTHER,TOTAL,DEST.,DAM.,FIRE,CIVIL,,,
"",TUU-5931,100%,Kern,Borel,06/15/02,06/17/02,CC,,"3,430","3,430",,Under Invest.,19,,,
"",VAF-0364,100%,Santa Barbara (Vand,Sudden Ranch,06/17/02,06/19/02,CC,,"7,782","7,782",,Under Invest.,1,0,0,0
"",ANF-1949,100%,Los Angeles,Copo,06/18/02,06/21/02,USFS,,"1,460","1,460",,Under Invest.,3,,,
"",SCU-2228,100%,Alameda,Vieux,06/18/02,06/18/02,CDF,"1,029",,"1,029",G,Elec. Power,0,0,0,0
"",MMU-10060,100%,Madera,Box,06/19/02,06/19/02,LOCAL,,300,300,G,Smoking,0,0,0,0
"",RRU-44585,100%,Riverside,Mias (need correct),06/18/02,06/22/02,CDF,565,,565,,Under Invest.,,,,
"",MVU-4450,100%,San Diego,Troy(4 exp rept with,06/19/02,06/22/03,CDF,"1,188",,"1,188",,Campfire,3,1,0,0
"",TUU-6214,100%,Tulare,Stage,06/22/02,06/22/02,CDF,"1,100",,"1,100",G,Equip. Use,0,0,0,0
"",BDU-5640,100%,San Bernardino,Louisiana,06/26/02,06/30/02,USFS,,"6,574","6,574",,Under Invest.,7,,,
"",MMU-10594,100%,Madera,600,06/27/02,06/27/02,LOCAL,,448,448,G,Equip. Use,0,0,0,0
"",AEU-9828,100%,El Dorado,Gondola,07/03/02,07/07/02,USFS,,670,670,,Human,,,,
"",MMU-11097,100%,Merced,Cottonwood,07/04/02,07/04/02,CDF,"1,000",,"1,000",G,Undetermined,0,0,0,0
"",MMU-11533,100%,Mariposa,White,07/09/02,07/10/02,CDF,300,,300,G,Smoking,0,0,0,0
"",LMU-2073,100%,Lassen,Black,07/12/02,07/13/02,BLM,,300,300,,Lightning,,,,
"",LMU-3180,100%,Lassen,BLM #587,07/13/02,07/20/02,BLM,,500,500,G,Lightning,0,0,0,0
"",LMU-2124,100%,Modoc,Knox/Annie,07/14/02,07/14/02,BLM,,300,300,G,Lightning,0,0,,
"",MVU-5177,100%,San Diego,Garnet,07/13/02,07/16/02,USFS/CDF,789,377,"1,166",B,Undetermined,0,0,0,0
"",BDU-6371,100%,Inyo,Inyo Complex,07/15/02,07/16/02,USFS,,"6,550","6,550",,Lightning,,,,
"",NOD-2085,100%,Lassen,Horse Complex,07/15/02,07/15/02,BLM,,"1,580","1,580",,Lightning,,,,
"",LMU-2109,100%,Lassen,BLM #596,07/12/02,07/13/02,BLM,,"4,500","4,500",G,Lightning,0,0,0,0
"",SKU-2739,100%,Siskiyou,Mussolini,07/13/02,07/16/02,CDF,"3,260",,"3,260",TG,Equip. Use,0,0,0,0
"",SLU-4041,100%,San Luis Obispo,HWY 58,07/18/02,07/19/02,CDF,"1,380",,"1,380",B,Arson,6,0,0,0
"",TUU-7497,100%,Kern,Deer,07/21/02,07/24/02,USFS,,"1,800","1,800",,Under Invest.,94,,,
"",TUU-7693,100%,Tulare,McNally,07/21/02,09/03/02,USFS,,"150,696","150,696",,Human,17,,,
"",SKU-3049,100%,Siskiyou,Stanza,07/26/02,08/02/02,USFS,,"2,880","2,880",,Lightning,na,na,3,
"",AEU-11411,100%,El Dorado,St. Pauli,07/26/02,07/28/02,USFS,,320,320,,Under Invest.,,,,
"",MVU-5658,100%,San Diego need exp,Pines,07/29/02,08/16/02,CDF,"61,690",,"61,690",TWGB,Elec. Power,160,4,0,0
"",HUU-3522,100%,Del Norte,Shelly Creek,07/28/02,08/01/02,USFS,,850,850,,Under Invest.,,,,
"",SRF-3560,100%,Del Norte,Sour Biscuit-Zone 2,07/13/02,08/02/02,USFS,,"28,772","28,772",,Lightning,,,,
"",SCU-3198,100%,Contra Costa,Vasco,08/05/02,08/05/02,CDF,549,,549,G,Undetermined,0,0,0,0
"",LNU-6171,100%,Napa,Pope,08/09/02,08/10/02,CDF,800,,800,B,Equip. Use,0,0,0,0
"",BEU-3023,100%,Monterey,Ft. Hunter Ligget,08/10/02,08/11/02,MIL,,"1,400","1,400",,Under Invest.,,,,
"",AEU-9828,100%,El Dorado,Gondola,07/03/02,07/07/02,USFS,,670,670,,Human,,,,
"",MMU-11097,100%,Merced,Cottonwood,07/04/02,07/04/02,CDF,"1,000",,"1,000",G,Undetermined,0,0,0,0
"",MMU-11533,100%,Mariposa,White,07/09/02,07/10/02,CDF,300,,300,G,Smoking,0,0,0,0
"",LMU-2073,100%,Lassen,Black,07/12/02,07/13/02,BLM,,300,300,,Lightning,,,,
"",LMU-3180,100%,Lassen,BLM #587,07/13/02,07/20/02,BLM,,500,500,G,Lightning,0,0,0,0
"",LMU-2124,100%,Modoc,Knox/Annie,07/14/02,07/14/02,BLM,,300,300,G,Lightning,0,0,,
"",MVU-5177,100%,San Diego,Garnet,07/13/02,07/16/02,USFS/CDF,789,377,"1,166",B,Undetermined,0,0,0,0
"",BDU-6371,100%,Inyo,Inyo Complex,07/15/02,07/16/02,USFS,,"6,550","6,550",,Lightning,,,,
"",NOD-2085,100%,Lassen,Horse Complex,07/15/02,07/15/02,BLM,,"1,580","1,580",,Lightning,,,,
"",LMU-2109,100%,Lassen,BLM #596,07/12/02,07/13/02,BLM,,"4,500","4,500",G,Lightning,0,0,0,0
"",SKU-2739,100%,Siskiyou,Mussolini,07/13/02,07/16/02,CDF,"3,260",,"3,260",TG,Equip. Use,0,0,0,0
"",SLU-4041,100%,San Luis Obispo,HWY 58,07/18/02,07/19/02,CDF,"1,380",,"1,380",B,Arson,6,0,0,0
"",TUU-7497,100%,Kern,Deer,07/21/02,07/24/02,USFS,,"1,800","1,800",,Under Invest.,94,,,
"",TUU-7693,100%,Tulare,McNally,07/21/02,09/03/02,USFS,,"150,696","150,696",,Human,17,,,
"",SKU-3049,100%,Siskiyou,Stanza,07/26/02,08/02/02,USFS,,"2,880","2,880",,Lightning,na,na,3,
"",AEU-11411,100%,El Dorado,St. Pauli,07/26/02,07/28/02,USFS,,320,320,,Under Invest.,,,,
"",MVU-5658,100%,San Diego need exp,Pines,07/29/02,08/16/02,CDF,"61,690",,"61,690",TWGB,Elec. Power,160,4,0,0
"",HUU-3522,100%,Del Norte,Shelly Creek,07/28/02,08/01/02,USFS,,850,850,,Under Invest.,,,,
"",SRF-3560,100%,Del Norte,Sour Biscuit-Zone 2,07/13/02,08/02/02,USFS,,"28,772","28,772",,Lightning,,,,
"",SCU-3198,100%,Contra Costa,Vasco,08/05/02,08/05/02,CDF,549,,549,G,Undetermined,0,0,0,0
"",LNU-6171,100%,Napa,Pope,08/09/02,08/10/02,CDF,800,,800,B,Equip. Use,0,0,0,0
"",BEU-3023,100%,Monterey,Ft. Hunter Ligget,08/10/02,08/11/02,MIL,,"1,400","1,400",,Under Invest.,,,,
"",RRU-58948,100%,Riverside,Bryant,08/11/02,08/12/02,CDF,498,,498,,Play/W/Fire,0,1,0,0
"",%,,,DATE,,ORIGIN,ACRES BURNED,,VEG.,,STRUCTURES,FATALITIES
INCIDENT#,CONT.,UNIT,FIRE NAME,START,CONT.,DPA,CDF OTHER,TOTAL,TYPE,CAUSE,DEST. DAM.,FIRE CIVIL
HUU-3893,100%,Humboldt,Supply HIA Assist #1,08/14/02,08/18/02,BIA,410,410,,Under Invest.,0 0,
SLU-4854,100%,San Luis Obispo,Redhill,08/17/02,08/19/02,USFS,715,715,,Under Invest.,,
AEU-12859,100%,El Dorado,Showers,08/19/02,08/21/02,USFS,384,384,,Human,,
MVU-6486,100%,San Diego,Assist #73,08/24/02,08/25/02,USFS,850,850,B,Undetermined,0 0,0 0
BDU-8188,100%,San Bernardino,Lytle,08/29/02,09/04/02,USFS,554,554,,Under Invest.,,
AEU-13579,100%,El Dorado,Hickok,08/31/02,08/31/02,CDF,775,775,B,Play/W/Fire,1 1,
BDU-8451,100%,Los Angeles,Curve BDU8451 379,09/01/02,09/05/03,USFS,"20,857","20,857",,Under Invest.,73,
BDU-8584,100%,Los Angeles,Freeway,09/01/02,09/03/02,CC,"1,043","1,043",,Under Invest.,,
SHU-8454,100%,Shasta,Squirrel,09/03/02,09/03/02,CDF,625,625,T,Smoking,1 0,0 0
BDU-8585,100%,Los Angeles,Leona,09/03/02,09/06/02,USFS,"5,124","5,124",,Under Invest.,16,
BDU-8607,100%,Los Angeles County,Mountain,09/09/02,09/11/02,CC,"1,200","1,200",,Under Invest.,,
BDU-8776,100%,Los Angeles,Oasis Inc.,09/14/02,09/14/02,CC,"1,305","1,305",,Under Invest.,,
NEU-14547,100%,Placer,Sierra (Rocklin Assis,09/18/03,09/18/03,LOCAL,594,594,,Under Invest.,21,
MEU-7499,100%,Mendocino,Burns,09/19/02,09/20/02,CDF,485,485,TWG,Undetermined,0 0,0 0
BDU-9244,100%,Los Angeles,Williams,09/22/02,10/07/02,CC,"38,094","38,094",B,Under Invest.,77,
SCU-4160,100%,Santa Clara,Croy,09/23/02,09/28/02,CDF,"3,127","3,127",B,Elec. Power,34 4,0 0
BDU-9108,100%,Inyo,Paiute,09/24/02,09/24/02,USFS,391,391,,Human,,
BDU-8607 100%,Los Angeles County,Mountain,09/09/02,09/11/02,CC,,"1,200","1,200",,Under Invest.,,,,,,,
BDU-8776 100%,Los Angeles,Oasis Inc.,09/14/02,09/14/02,CC,,"1,305","1,305",,Under Invest.,,,,,,,
NEU-14547 100%,Placer,Sierra (Rocklin Assis,09/18/03,09/18/03,LOCAL,,594,594,,Under Invest.,21,,,,,,
MEU-7499 100%,Mendocino,Burns,09/19/02,09/20/02,CDF,485,,485,TWG,Undetermined,0,0,0,,,0,
BDU-9244 100%,Los Angeles,Williams,09/22/02,10/07/02,CC,,"38,094","38,094",B,Under Invest.,77,,,,,,
SCU-4160 100%,Santa Clara,Croy,09/23/02,09/28/02,CDF,"3,127",,"3,127",B,Elec. Power,34,4,0,,,0,
BDU-9108 100%,Inyo,Paiute,09/24/02,09/24/02,USFS,,391,391,,Human,,,,,,,
LMU-3269 100%,Lassen,Cone,09/26/02,09/30/02,USFS,,"2,006","2,006",,Under Invest.,,,,,,,
TGU-6124 100%,Tehama,36,10/01/02,10/01/02,CDF,300,,300,G,Vehicle,0,0,0,,,0,
LNU-8020 100%,Yolo,Sixteen,10/01/02,10/02/02,CDF,"1,500",,"1,500",GB,Undetermined,0,0,0,,,0,
AEU-18819 100%,El Dorado,Plum,11/26/02,11/28/02,USFS,,"1,765","1,765",,,,,,,,,
TCU-9171 100%,Calaveras,Sourgrass Complex,11/25/02,11/30/02,CDF,635,,635,TB,Debris Burning,0,0,0,,,0,
SNF-1576 100%,Madera,Rock Creek 2,11/25/02,11/27/02,USFS,,415,415,,,,,,,,,
MEU-9436 100%,Mendocino,Pine,11/26/03,11/28/03,CDF,"1,200",,"1,200",GB,Escape,7,0,0,,,0,
"",,,,,,,,0,,,,,,,,,
"",,,,,TOTALS,"98,312","386,633","484,945",,,624,24,3,,,0,
"",,,,,,"196,624","773,266","969,890",,,"1,248",48,,,6,,0
"*Shaded rows show the fire report is in the EARS system.",,,,,,,,,,,,,,,,,
This large fire list includes fires 300 acres and greater to which CDF responded.  The source of this data is gathered from reports filed by CDF Units statewide.  The information,,,,,,,,,,,,,,,,,
is verified when a final fire report is submitted by the CDF unit where the fire occurred.  Often this final report does not come in until after a fire season ends when staff have time to finalize,,,,,,,,,,,,,,,,,
the paperwork.  Other agencies are not obligated to provide reports to CDF on fire activity within their jurisdiction.  Information on this list concerning other agencies should be verified,,,,,,,,,,,,,,,,,
with those agencies.,,,,,,,,,,,,,,,,,
