"",,,,,,DWELLINGS
Ventura Co .,Kuhner,09/04-N/A,CC,- 4000 4000,B,N/A -
San Diego,Gavilan,03/31-04/02,CDF,325 - 325,B,Cmpr . -
San Diego,Outside Origin #11,07/31-N/A,City,- 300 300,B,N/A -
San Diego,State,10/09-10/10,CDF,445 - 445,B,Arson -
San Diego,Rodriguez,12/01-12/02,CDF,439 - 439,B,Misc . -
San Luis Obispo,LPF #807,07/17-N/A,USFS,- 5053 5053,B,Cmpr . -
ANDRANGER UNIT FIRE NAME,DATE START CONT . DPA CDF ORIGIN,ACRES BURNED,OTHER,,VEG . CAUSE TOTAL TYPE GEN . STRUCTURES,
REGION IV,,,,,,
Amador-El Dorado Amador,07/18-07/18 CDF,600,,,,
"",,,-,,600 T Arson,
Amador-E1 Dorado Tonzi,09/05-09/05 CDF,341,,,,-
ings,,,-,,,
"",,,,,341 WBG Arson,
"-Fresno-K Lightning #9",06/20-06/21 CDF,3650,,,,
ings,,,-,,,
"",,,,,3650 G Ltng .,
"-Fresno-K Garnet Dike",08/30-N/A USFS,-,,,,
Fresno-Kings,,,,,,
"",,,1725,,1725 T N/A,
Obelisk,08/19-N/A USFS,-,6343,,6343 N/A N/A,--
Kern County -Kern County Kern Co . #7 Kern Co . #9,06/21-N/A (Knob) 06/23-N/A CC CC,- -,1900 375,,1900 BG N/A,
Kern County,,,,,,
"",,,,,375 N/A N/A,-
Havilah,08/11-N/A CC,-,1573,,1573,
Sequoia NP -Tuo 3075lumne-Calaveras Buckeye Stent,10/16-N/A 06/26-06/26 USFS CDF,- 980,3075,,TB TB N/A N/A,-
"",,,-,,980 B,
Tuolumne-Calaveras -uo 1100lumne-Calaveras Mason Pardee,06/28-06/29 07/19-07/22 CDF CDF,4072,- -,,Ltng . 1100 BG Misc .,-
uolumne-Calaveras Br idge,07/19-07/22 CDF,6778,,,4072 TWBG Arson,5
"-uo 6778lumne-Calaveras Grade",08/19-08/20 CDF,380,-,,TWBG Arson,
Equip Use 1uolumne-Calaveras Middle Fork,12/14-N/A CDF,442,-,,380 TBG,
"",,,-,,442 T Debris,-
TATE TOTAL 67 FIRES,"CDF ACRES BURNED 160,577",,,,HOMES,199
